GENRE	TEXT	LABEL	EXTRACTION
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_04_out.txt_0018	ita	Pietro in Cielo d Oro
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0002	ita	Sta Maria
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0004	ita	terra cotta
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0006	ita	S Pietro in Cielo d Oro
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0008	ita	Pavia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0010	ita	Casa
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0012	ita	Pavia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0014	ita	Pavia Piacenza
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0016	ita	Lodi
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0018	ita	caffè
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0022	ita	La Città Alta
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0024	ita	Borgo S Leonardo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0026	ita	Monza Cremona
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0028	ita	Brotello
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0030	ita	Piazza Garibaldi
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0032	ita	La Città Alta
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0034	ita	Brotello
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0036	ita	Sta Maria Maggiore
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0038	ita	Madonna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_05_out.txt_0040	ita	G Bellini
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0001	ita	Sta Maria
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0003	ita	breccia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0005	ita	Stefano da
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0007	ita	Capella Colleoni
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0009	ita	Bartolommeo Colleoni
