"GENRE"	"BOOK"	"LABEL"	"EXTRACTION"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0040"	"ita"	"Cortona"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0042"	"ita"	"Umbria"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0044"	"ita"	"Cortona"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0046"	"ita"	"Piazza Signorelli"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0048"	"ita"	"Santa Margherita"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0050"	"ita"	"Fortezza"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0052"	"ita"	"Cortona"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0058"	"ita"	"Cortona"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0060"	"ita"	"Santa Margherita"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0062"	"ita"	"Piero da Cortona"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0064"	"ita"	"Malta"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0066"	"ita"	"Margherita"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0068"	"ita"	"Santa Margherita"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0070"	"ita"	"Cortona"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0072"	"ita"	"Chiusi Città della Pieve Montepulciano"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0074"	"ita"	"panorama"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0076"	"ita"	"Monte Amiata"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0078"	"ita"	"Castiglione del Lago"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0080"	"ita"	"Rocca"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0084"	"ita"	"Santa Margherita"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0086"	"ita"	"Cortona"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0088"	"ita"	"Cortona"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0090"	"ita"	"Cortona"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0092"	"ita"	"Nuncio"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0094"	"ita"	"Niccolò"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0096"	"ita"	"loggia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0098"	"ita"	"Cortona"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0100"	"ita"	"Luca Signorelli"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0102"	"ita"	"Piazza Signorelli"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0104"	"ita"	"Cortona"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0002"	"ita"	"Palazzo Comunale"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0004"	"ita"	"Ecco signore"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0006"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0008"	"ita"	"PIETRO DE CASSINENSI PERUGIA"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0010"	"ita"	"Perugia Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0012"	"ita"	"loggia d"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0014"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0016"	"ita"	"Cortona"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0018"	"ita"	"Umbria"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0020"	"ita"	"Perugino"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0022"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0024"	"ita"	"Umbria"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0026"	"ita"	"Perusia Augusta"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0028"	"ita"	"Felice Ciatti"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0030"	"ita"	"Greco"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0032"	"ita"	"Falcon"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0034"	"ita"	"Orgoglioso"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0036"	"ita"	"Prossimana"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0038"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0040"	"ita"	"Rione della Porta Sole"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0042"	"ita"	"Porta Sole"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0044"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0046"	"ita"	"Assisi"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0048"	"ita"	"Dante"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0050"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0052"	"ita"	"Nocera"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0054"	"ita"	"Ascesi"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0056"	"ita"	"Porta Eburnea"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0060"	"ita"	"Ercolano"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0062"	"ita"	"Porta Cornea"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0064"	"ita"	"Porta Eburnea"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0068"	"ita"	"Matarazzo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0070"	"ita"	"Baglioni"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0072"	"ita"	"Porta Augusta"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0074"	"ita"	"Porta Pulchra"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0076"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0078"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0080"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0082"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0084"	"ita"	"Corso"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0086"	"ita"	"Fortebraccio"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0090"	"ita"	"Corso"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_05_out.txt_0092"	"ita"	"Piazza Vittorio Emanuele"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0001"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0003"	"ita"	"Fra Bernadino"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0005"	"ita"	"Siena"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0007"	"ita"	"Lorenzo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0009"	"ita"	"Savonarola"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0011"	"ita"	"terra cotta"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0013"	"ita"	"Agostino Duccio"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0015"	"ita"	"Baglioni"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0017"	"ita"	"Matarazzo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0019"	"ita"	"Chiusi"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0021"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0023"	"ita"	"Lorenzo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0029"	"ita"	"Madonna"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0031"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0033"	"ita"	"Madonna"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0035"	"ita"	"Giovanni Manni"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0037"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0039"	"ita"	"Madonna"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0041"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0043"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0045"	"ita"	"Diana"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0047"	"ita"	"Gubbio"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0049"	"ita"	"Quattrocento"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0055"	"ita"	"Assisi"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0057"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0059"	"ita"	"passeggiata"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0061"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0063"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0065"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_06_out.txt_0067"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0002"	"ita"	"Baglioni"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0006"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0010"	"ita"	"Perugino"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0012"	"ita"	"Lo Spagna Pinturicchio"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0014"	"ita"	"Eusebio di San Giorgio"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0016"	"ita"	"Oddi"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0018"	"ita"	"Baglioni"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0020"	"ita"	"Biordo Michelotto"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0022"	"ita"	"Mommaggiore"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0024"	"ita"	"Braccio Fortebraccio"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0028"	"ita"	"Braccio Fortebraccio"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0036"	"ita"	"Italia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0038"	"ita"	"Aquila"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0042"	"ita"	"brevi"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0048"	"ita"	"Perugino"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0052"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0054"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0056"	"ita"	"Bonfigli"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0058"	"ita"	"Perugino"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0060"	"ita"	"Bonfigli"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0062"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0064"	"ita"	"Palazzo Comunale"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0070"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0072"	"ita"	"Pietro de Cassinensi"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0074"	"ita"	"Domenico"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_07_out.txt_0076"	"ita"	"Ercolano"
